,Site,Bout,Date,Duration,SampRate,Stereo,BIO,ACI,NDSI,ADI,AEI,H,M
51,AR-1B,Bout_4,MINI1_20220329_174000.wav,300,24000,FALSE,101.1113131,8856.969957,0.620903788,1.9237,0.502949,0.824713114,1.18E-05
52,AR-1B,Bout_4,MINI1_20220329_184000.wav,300,24000,FALSE,95.37554909,9320.83961,0.833605373,1.569475,0.669651,0.821121246,1.09E-05
53,AR-1B,Bout_4,MINI1_20220329_194000.wav,300,24000,FALSE,83.04079856,9251.0691,0.513289415,1.533055,0.632695,0.771903396,1.31E-05
54,AR-1B,Bout_4,MINI1_20220329_204000.wav,300,24000,FALSE,85.71763335,9223.796007,0.628311744,1.640741,0.607792,0.799453026,1.37E-05
55,AR-1B,Bout_4,MINI1_20220330_051600.wav,300,24000,FALSE,69.64968436,9217.502545,-0.748700719,1.073393,0.782065,0.703601249,1.06E-05
56,AR-1B,Bout_4,MINI1_20220330_061600.wav,300,24000,FALSE,67.79693031,9251.322764,-0.763220472,0.938634,0.806585,0.693579883,1.25E-05
57,AR-1B,Bout_4,MINI1_20220330_071600.wav,300,24000,FALSE,82.18027505,10175.44413,0.960398636,1.726022,0.595305,0.835837665,1.77E-05
58,AR-1B,Bout_4,MINI1_20220330_081600.wav,300,24000,FALSE,101.6714621,9849.405378,0.541630297,1.660457,0.620602,0.801912615,1.26E-05
59,AR-1B,Bout_4,MINI1_20220330_091600.wav,300,24000,FALSE,76.54306728,9107.018582,0.69690297,1.908426,0.520904,0.820129243,1.22E-05
60,AR-1B,Bout_4,MINI1_20220330_164000.wav,300,24000,FALSE,71.85400882,8880.363577,-0.021654846,2.111755,0.394872,0.866424084,1.97E-05
61,AR-1B,Bout_4,MINI1_20220330_174000.wav,300,24000,FALSE,76.54723796,8939.30154,0.172269611,1.967009,0.489045,0.86351412,1.67E-05
62,AR-1B,Bout_4,MINI1_20220330_184000.wav,300,24000,FALSE,91.22299,8626.056876,0.380228557,1.845953,0.530456,0.830196923,1.42E-05
63,AR-1B,Bout_4,MINI1_20220330_194000.wav,300,24000,FALSE,80.07646079,9175.130848,0.020790705,1.652949,0.63597,0.792189087,1.12E-05
64,AR-1B,Bout_4,MINI1_20220330_204000.wav,300,24000,FALSE,85.95203327,8695.721699,0.985721045,2.22745,0.272028,0.892408375,2.46E-05
65,AR-1B,Bout_4,MINI1_20220331_051500.wav,300,24000,FALSE,76.22627769,8385.68257,0.955220228,1.768926,0.589745,0.786253168,1.75E-05
66,AR-1B,Bout_4,MINI1_20220331_061500.wav,300,24000,FALSE,85.76118764,8918.093186,0.67333704,1.450922,0.689243,0.760265703,1.35E-05
67,AR-1B,Bout_4,MINI1_20220331_071500.wav,300,24000,FALSE,103.5030622,9731.13009,0.966588158,1.836229,0.560463,0.83453216,1.25E-05
68,AR-1B,Bout_4,MINI1_20220331_081500.wav,300,24000,FALSE,89.74488017,9143.157658,0.882854102,2.008722,0.447675,0.801519339,1.26E-05
69,AR-1B,Bout_4,MINI1_20220331_091500.wav,300,24000,FALSE,82.88723003,9087.41152,0.304865522,1.941115,0.496082,0.840518019,1.08E-05
70,AR-1B,Bout_4,MINI1_20220331_164100.wav,300,24000,FALSE,78.99588306,8972.098696,0.069901092,2.253177,0.272094,0.853736469,1.22E-05
71,AR-1B,Bout_4,MINI1_20220331_174100.wav,300,24000,FALSE,87.72569142,8959.960079,0.643778352,1.597319,0.621971,0.835721978,9.25E-06
72,AR-1B,Bout_4,MINI1_20220331_184100.wav,300,24000,FALSE,82.28004384,8959.391123,0.627958141,2.135268,0.361432,0.836463032,7.36E-06
73,AR-1B,Bout_4,MINI1_20220331_194100.wav,300,24000,FALSE,73.76441069,9197.884283,0.215139531,2.017575,0.457326,0.81755173,6.78E-06
74,AR-1B,Bout_4,MINI1_20220331_204100.wav,300,24000,FALSE,70.31883961,9117.234924,0.99118095,2.154363,0.353709,0.773853612,1.69E-05
75,AR-1B,Bout_4,MINI1_20220401_051400.wav,300,24000,FALSE,76.77565343,8948.792964,0.991892929,2.072973,0.413838,0.747878433,2.43E-05
76,AR-1B,Bout_4,MINI1_20220401_061400.wav,300,24000,FALSE,81.15079268,8983.061438,0.96345464,2.091585,0.377406,0.77410078,2.05E-05
77,AR-1B,Bout_4,MINI1_20220401_071400.wav,300,24000,FALSE,91.21677552,9358.137086,0.925616015,2.144539,0.329648,0.844900073,9.98E-06
78,AR-1B,Bout_4,MINI1_20220401_081400.wav,300,24000,FALSE,104.8198979,9553.299335,0.741902374,2.169412,0.308763,0.875868615,1.09E-05
79,AR-1B,Bout_4,MINI1_20220401_091400.wav,300,24000,FALSE,99.08543091,9247.618441,0.633544954,2.217154,0.259433,0.864850019,8.28E-06
80,AR-1B,Bout_4,MINI1_20220401_164100.wav,300,24000,FALSE,98.30954843,9334.45997,0.887694593,1.983133,0.477101,0.856221046,7.68E-06
81,AR-1B,Bout_4,MINI1_20220401_174100.wav,300,24000,FALSE,92.78206467,8953.016353,0.98426574,2.145134,0.359259,0.837034214,7.84E-06
82,AR-1B,Bout_4,MINI1_20220401_184100.wav,300,24000,FALSE,111.865073,9383.989721,0.910926769,1.898747,0.519234,0.842423322,1.14E-05
83,AR-2A,Bout_4,MINI8_20220328_163900.wav,300,24000,FALSE,100.8548707,8706.379159,0.958295766,2.151744,0.373719,0.850610214,1.57E-05
84,AR-2A,Bout_4,MINI8_20220328_173900.wav,300,24000,FALSE,84.32831293,8749.821229,0.989079025,2.35701,0.125005,0.852745222,8.58E-06
85,AR-2A,Bout_4,MINI8_20220328_183900.wav,300,24000,FALSE,66.78911541,8926.676991,0.98528381,2.371288,0.127206,0.858957627,7.49E-06
86,AR-2A,Bout_4,MINI8_20220328_193900.wav,300,24000,FALSE,69.40488975,9039.718454,0.997006343,2.375893,0.117467,0.851711495,9.65E-06
87,AR-2A,Bout_4,MINI8_20220328_203900.wav,300,24000,FALSE,86.31332113,8765.329071,0.993095156,2.100538,0.398586,0.891517542,1.29E-05
